Date,Open,High,Low,Close,Adj Close,Volume
31-05-2018,921,922.299988,914.549988,921.349976,915.703003,16951801
01-06-2018,920,935.75,918.450012,930.549988,924.846619,8765835
04-06-2018,933.400024,944,930.549988,940.849976,935.083496,5600357
05-06-2018,942.799988,955,941,947.650024,941.841858,7971524
06-06-2018,947,956,942.650024,954.400024,948.550476,4189483
07-06-2018,954.900024,976,954.450012,971.349976,965.396545,6857300
08-06-2018,966.349976,986.549988,960.599976,984.349976,978.316895,6532599
11-06-2018,987.099976,999.950012,979.049988,982.650024,976.627319,6866053
12-06-2018,983.400024,1000,980.299988,997.150024,991.038452,7445221
13-06-2018,1000,1005.900024,989.5,1002.5,996.355652,5926020
14-06-2018,997.450012,1011.799988,987.400024,1007.950012,1001.772278,5484867
15-06-2018,1006,1023.5,999.25,1014.200012,1007.983948,11294702
18-06-2018,1008.799988,1020.450012,1007,1015.549988,1009.325684,5652374
19-06-2018,1013.900024,1014.799988,993.650024,996.049988,989.94519,6346101
20-06-2018,996,1022.900024,994.849976,1019.25,1013.002991,7193824
21-06-2018,1023.450012,1036,1021.299988,1031.949951,1025.625122,10509756
22-06-2018,1028.400024,1029.199951,1008.450012,1012.5,1006.294373,16169978
25-06-2018,1011.400024,1016.5,1002.299988,1004.450012,998.293701,5197694
26-06-2018,1006,1006,975.25,978.950012,972.950012,8068585
27-06-2018,978.5,985.400024,962.700012,965.849976,965.849976,8958555
28-06-2018,962,968.5,940.299988,944.950012,944.950012,8581234
29-06-2018,949.099976,975.5,949,972.450012,972.450012,7966401
02-07-2018,972.349976,972.349976,957,960.599976,960.599976,6660916
03-07-2018,965,978.450012,960.349976,971.299988,971.299988,5067261
04-07-2018,971.799988,992,971,990.099976,990.099976,5000724
05-07-2018,997,1008.400024,958.599976,964.5,964.5,18719353
06-07-2018,964.75,983,964.5,977.549988,977.549988,9161266
09-07-2018,987.099976,1000,983.5,997.099976,997.099976,5170189
10-07-2018,1002.75,1028.5,1000,1025.699951,1025.699951,10444513
11-07-2018,1025,1040.900024,1017.849976,1038.800049,1038.800049,8665072
12-07-2018,1044.349976,1099,1042.599976,1082.349976,1082.349976,24109297
13-07-2018,1080.5,1109,1080,1099.800049,1099.800049,17967282
16-07-2018,1099.800049,1108.900024,1073.050049,1076.199951,1076.199951,6595781
17-07-2018,1078.300049,1095.949951,1069.599976,1092.349976,1092.349976,6469256
18-07-2018,1098.400024,1104.599976,1077.300049,1092.550049,1092.550049,4682099
19-07-2018,1093.300049,1115,1086.349976,1104.849976,1104.849976,5433617
20-07-2018,1113.400024,1138.5,1111.900024,1128.650024,1128.650024,8018150
23-07-2018,1129.800049,1129.800049,1113.099976,1120.300049,1120.300049,5842496
24-07-2018,1122,1126.75,1107.400024,1110.949951,1110.949951,4469144
25-07-2018,1110,1123,1104.199951,1115.150024,1115.150024,5949680
26-07-2018,1110.099976,1121.5,1107.800049,1110.650024,1110.650024,6424867
27-07-2018,1119.5,1137.400024,1112.150024,1129.849976,1129.849976,6679468
30-07-2018,1130,1157.300049,1128,1151.400024,1151.400024,13872467
31-07-2018,1151,1190.400024,1147.150024,1186,1186,13875377
01-08-2018,1190.400024,1202.900024,1185.400024,1192.349976,1192.349976,9704295
02-08-2018,1191.5,1191.5,1165.949951,1168.349976,1168.349976,6248975
03-08-2018,1175,1183.5,1169.550049,1176.949951,1176.949951,6645397
06-08-2018,1176.699951,1196,1175.349976,1192.599976,1192.599976,4016418
07-08-2018,1194.900024,1201.400024,1177,1184.199951,1184.199951,4059460
08-08-2018,1185,1222.5,1185,1217.699951,1217.699951,7912437
09-08-2018,1221.5,1231.699951,1212,1217.949951,1217.949951,6846928
10-08-2018,1211,1215,1202.300049,1204.199951,1204.199951,3581210
13-08-2018,1197.550049,1199.949951,1182.699951,1187.699951,1187.699951,4668159
14-08-2018,1190,1217.199951,1184.300049,1210.599976,1210.599976,5299536
16-08-2018,1203.25,1216,1195.5,1200.800049,1200.800049,5982490
17-08-2018,1209,1215.400024,1200.050049,1203.75,1203.75,3830992
20-08-2018,1207.900024,1236.800049,1207.650024,1234.900024,1234.900024,7607036
21-08-2018,1237.25,1251.5,1227,1247.199951,1247.199951,7279641
23-08-2018,1246.300049,1274,1238.400024,1269.449951,1269.449951,7968123
24-08-2018,1265.25,1279.949951,1260.050049,1277.5,1277.5,6652005
27-08-2018,1279.400024,1295.849976,1278.75,1291.5,1291.5,5572177
28-08-2018,1296,1323,1295,1319,1319,8694751
29-08-2018,1316.300049,1329,1290.199951,1294.199951,1294.199951,11077203
30-08-2018,1293.599976,1297.150024,1270.449951,1274.449951,1274.449951,9850042
31-08-2018,1270,1270,1236.599976,1241.650024,1241.650024,15305857
03-09-2018,1245,1257.900024,1226.050049,1229.150024,1229.150024,12200022
04-09-2018,1235.150024,1254.800049,1229,1241.949951,1241.949951,8838770
05-09-2018,1242.5,1252.650024,1208.5,1227,1227,10324923
06-09-2018,1230.150024,1265.699951,1225.349976,1261.400024,1261.400024,11195043
